Year,County,Target,FirstQuarter ,SecondQuarter,ThirdQuarter,FourthQuarter,Total
2014,Kitui,713850291,,,,,255241581
2016,Kwale,300000000,40649387,49333479,87598501,71036219,248617586
2017,Kwale,261048468,45057651,33730228,80231502,61991805,221011186
2015,Kwale,500000000,56613666,40010533,81637615,75710446,253972260
2018,Kwale,275000000,23551939,26530000,139330000,86883190,276295129
2014,Kwale,642361019,,,,,208454345
2016,Laikipia,500000000,136770714,94247781,159930856,80198636,471147987
2017,Laikipia,670000000,52413065,57605862,131123054,221581270,462723251
2015,Laikipia,400000000,51378961,49444045,121626343,178035395,400484744
2018,Laikipia,500000000,107697348,55604969,130544880,119480989,413328186
2014,Laikipia,557173528,,,,,347118457
2016,Lamu,107000000,10905995,10150163,25626832,10641410,57324400
2017,Lamu,100000000,7978400,14877084,19333329,34771975,76960788
2015,Lamu,65740000,5008154,9669663,28816985,18177453,61672255
2018,Lamu,90000000,7094595,9588640,24804086,13799367,55286688
2014,Lamu,86124909,,,,,35566589
2016,Machakos,2371633578,201681606,196598418,397410231,325990695,1121680950
2017,Machakos,2861623481,295284724,224790482,431831079,307398659,1259304944
2015,Machakos,2850000000,353464417,260995380,441350333,300749758,1356559888
2018,Machakos,1594386715,103899248,197590594,331720932,430516010,1063726784
2014,Machakos,2541819152,,,,,1175227171
2016,Makueni,400000000,40295311,46962142,63875062,62038290,213170805
2017,Makueni,330000000,43745134,26756815,83003428,62752599,216257976
2015,Makueni,230000000,51802993,34986402,65866418,62694141,215349954
2018,Makueni,600000000,66268246,46023459,94948641,112041888,319282234
2014,Makueni,350000000,,,,,189187741
2016,Mandera,199237816,28243029,19678592,21346195,18966818,88234634
2017,Mandera,265643523,13926551,15431200,15366462,11119412,55843625
2015,Mandera,251285781,18993910,18914914,32563046,17257591,87729461
2018,Mandera,231000000,8724839,11997249,26249300,14841907,61813295
2014,Mandera,437400000,,,,,90068630
2016,Marsabit,130000000,26443448,27574164,30604207,27321386,111943205
2017,Marsabit,120000000,24102699,23876724,41823533,38927180,128730136
2015,Marsabit,48400000,22888544,19413072,27857641,28948208,99107465
2018,Marsabit,130000000,15420000,17220000,17958205,32792275,83390480
2014,Marsabit,44000000,,,,,46032691
2016,Meru,595273355,109690341,81974085,162903172,193721736,548289334
2017,Meru,773236727,126054421,79538678,158780782,188294276,552668157
2015,Meru,588038730,106009947,90321710,154307390,188600863,539239910
2018,Meru,821775812,53200311,66064114,183150754,139275758,441690937
2014,Meru,658000000,,,,,343805963
2016,Migori,400000000,86868486,64691276,87605182,100204024,339368968
2017,Migori,420000000,93850397,50246696,87072079,59646131,290815303
2015,Migori,500000000,86593618,53650911,88697193,126169834,355111556
2018,Migori,200000000,27744883,25159477,92446061,76900869,222251290
2014,Migori,795374867,,,,,238630499
2016,Mombasa,4051754938,384169600,353015653,845805097,1360530336,2943520686
2017,Mombasa,5289743050,351343709,496302660,1094101102,1224493490,3166240961
2015,Mombasa,5121608017,319999583,418828833,1090221238,663550491,2492600145
2018,Mombasa,3595744681,307908119,270351881,1098668159,1482228175,3159156334
2014,Mombasa,5074615602,,,,,1716054436
2016,Murang’a,850000000,109730737,110441067,230649879,166704676,617526359
2017,Murang’a,993550000,112311181,77881618,201466627,115026306,506685732
2015,Murang’a,800000000,107394856,100044430,224287289,130500959,562227534
2018,Murang’a,850000000,52810055,52449033,176863570,171584160,453706818
2014,Murang’a,800000000,,,,,419989717
2017,Nairobi,19566000000,2038350816,2168459211,4509675319,2213345007,10929830353
2015,Nairobi,13323722061,1781747512,2541536355,4878473060,2298292553,11500049480
2014,Nairobi,15448045417,,,,,10026171804
2016,Nairobi,15289917527,2228013602,2737765625,4655878689,2088350384,11710008300
2018,Nairobi,17229008928,1487988548,1617955495,4531727221,2471748230,10109419494
2016,Nakuru,2312257727,436180425,394181295,691840301,773260821,2295462842
2017,Nakuru,2597264658,275572395,256823116,594952564,420946924,1548294999
2015,Nakuru,2755924489,461938285,433636562,694488032,610216723,2200279602
2018,Nakuru,2500000000,356176823,400855172,752609665,769004404,2278646064
2014,Nakuru,3076738273,,,,,1816532538
2016,Nandi,357895800,47122753,56648451,53612994,79514403,236898601
2017,Nandi,362283894,101587001,32145212,42772211,68226333,244730757
2015,Nandi,456070000,99558564,82057262,58659466,57767191,298042483
2018,Nandi,385438659,20106058,37518123,77717284,62545418,197886883
2014,Nandi,422472914,,,,,130536752
2016,Narok,2344032789,617197084,418511793,367489625,349739450,1752937952
2017,Narok,2891716734,824524753,389714485,259035136,60659586,1533933960
2015,Narok,3366157146,725955853,489724059,210803882,212721916,1639205710
2018,Narok,2483456238,692375346,522617876,413319152,560124240,2188436615
2014,Narok,3698917020,,,,,1538560899
2016,Nyamira,240958912,25251964,17111231,37251933,27366841,106981969
2017,Nyamira,198230100,26655816,21268124,28397635,17598512,93920087
2015,Nyamira,219053554,23244966,27731136,23145516,30133066,104254684
2018,Nyamira,253112676,14859616,12749193,41626623,27381613,96617045
2014,Nyamira,100000000,,,,,94025895
2016,Nyandarua,392000000,49124850,38518284,102438603,89144449,279226186
2017,Nyandarua,390000000,49096833,53561192,110063996,84044542,296766563
2015,Nyandarua,200000000,26862669,25013247,100705132,88048424,240629472
2018,Nyandarua,371000000,38203320,44011248,97655000,138716031,318585599
2014,Nyandarua,174000000,,,,,138439331
2016,Nyeri,1082000000,144725321,132487114,216776000,215566000,709554435
2017,Nyeri,1095101000,169833726,138378967,186919631,148006829,643139153
2015,Nyeri,1343926804,89680222,178464316,208249579,204305950,680700067
2018,Nyeri,1000000000,137359072,136816412,224897358,261153109,760225951
2014,Nyeri,479050914,,,,,432229360
2016,Samburu,356585640,50662800,34173818,37035574,44963942,166836134
2017,Samburu,345867422,65209411,40702426,44123057,37628610,187663504
2015,Samburu,406550140,90365678,30278803,48520806,26550061,195715348
2018,Samburu,301230000,65508452,76693101,53959238,61132166,257292957
2014,Samburu,223550000,,,,,201001447
2016,Siaya,343309926,29169787,23247342,42382381,33132257,127931767
2017,Siaya,270000000,38807258,28605872,59304682,46119312,172837124
2015,Siaya,301530027,36095500,24641813,41839880,40751295,143328488
2018,Siaya,270000000,19407487,21415576,49028599,49485136,139336798
2014,Siaya,153000000,,,,,99771315
2016,Taita-Taveta,352805992,44719164,27211790,44901317,55933235,172765506
2017,Taita-Taveta,355587656,39643238,30708423,44505991,57159460,172017112
2015,Taita-Taveta,521830636,56016258,36663851,52249953,71673616,216603678
2018,Taita-Taveta,398465509,15762643,44487050,61722446,71623656,193595795
2014,Taita-Taveta,244119909,,,,,126861698
2017,Tana River,60000000,8349423,4949548,8952275,5165778,27417024
2015,Tana River,120000000,5331796,3581045,11150812,12969837,33033490
2014,Tana River,87290000,,,,,31556087
2016,Tana River,120000000,3384957,7542537,7037461,10440126,28405081
2018,Tana River,30000000,3950195,4029985,8205420,40439598,56625198
2015,Tharaka Nithi,250000000,30794708,26915276,26036354,31983384,115729722
2014,Tharaka Nithi,84000000,,,,,85372943
2016,Tharaka Nithi,248050000,36683313,22887305,31451315,48108150,139130083
2017,Tharaka Nithi,200000000,24263430,19747128,15211568,19347064,78569191
2018,Tharaka Nithi,179915283,6139274,30351754,33688500,56427214,126606742
2017,Trans Nzoia,500000000,67119995,30702605,78724118,41347085,217893803
2015,Trans Nzoia,385000000,34696804,27362543,139442894,99764864,301267105
2014,Trans Nzoia,501503926,,,,,201655713
2016,Trans Nzoia,389026513,50986745,40627795,144354784,129000711,364970035
2018,Trans Nzoia,400000000,15630401,21884856,120611692,87935953,246062902
2016,Turkana,200000000,10206290,40266468,34124845,49418362,134015965
2017,Turkana,180000000,49848315,30508033,30080170,75880251,186316769
2015,Turkana,110000000,34258055,29535938,35793035,26937479,126524507
2018,Turkana,200000000,33471422,27559858,35842613,47023005,143896898
2014,Turkana,250000000,,,,,132882771
2017,Uasin Gishu,1192000000,116685485,102105515,304538336,140501442,663830778
2015,Uasin Gishu,890000000,180863186,112682835,318805496,188472025,800823542
2014,Uasin Gishu,821410003,,,,,563669444
2016,Uasin Gishu,1037217425,144887625,109831736,292018961,172304003,719042325
2018,Uasin Gishu,850000000,89501705,116501748,387540000,225676758,819220211
2016,Vihiga,352158881,34892381,27382900,32904000,43759000,138938281
2017,Vihiga,220000000,23560000,15947000,25223000,31303000,96033000
2015,Vihiga,377743491,25585989,23084832,29358286,37910119,115939226
2018,Vihiga,220000000,12820045,29069063,50549434,51092210,143530752
2014,Vihiga,204274739,,,,,123302433
2016,Wajir,150000000,22318990,19608400,21042265,18812620,81782275
2017,Wajir,230119950,21573075,17185915,20025115,17124615,75908720
2015,Wajir,105136917,20757750,25982499,27327270,33675115,107742634
2018,Wajir,150000000,21573075,14550000,18933560,12551840,67608475
2014,Wajir,119030873,,,,,61032930
2017,West Pokot,122245626,19404094,16518847,22537121,24758845,83218907
2015,West Pokot,96197480,22314108,25861390,30144156,25579675,103899329
2014,West Pokot,38000000,,,,,58887573
2016,West Pokot,177308244,21651350,25578491,28924842,22150431,98305114
2018,West Pokot,111245626,13322611,21425779,25919586,27743201,88411177
